job started: Tue Jan 27 04:33:19 PM EST 2026
hostname: kn043
pwd: /home/pirie03/projects/aip-medilab/pirie03/ProstateMicroSeg/scripts/slurm
Device: cuda
GPU: NVIDIA L40S
CUDA Memory: 47.68 GB
DEBUG: fetching first train batch...
DEBUG: first train batch fetched in 4.2s
Train slices: 1766 | Val slices: 386
Target HW: (896, 1408) | Batch size: 2 | LR: 0.0001 | Epochs: 1
DataLoader: num_workers=0, pin_memory=False
Starting training...
[Epoch 1] Starting training loop...
[Epoch 1] step 1/883 | train_loss=0.0898
[Epoch 1] step 10/883 | train_loss=0.7036
[Epoch 1] step 20/883 | train_loss=0.7209
[Epoch 1] step 30/883 | train_loss=0.6745
[Epoch 1] step 40/883 | train_loss=0.6618
[Epoch 1] step 50/883 | train_loss=0.6464
[Epoch 1] step 60/883 | train_loss=0.6095
[Epoch 1] step 70/883 | train_loss=0.6155
[Epoch 1] step 80/883 | train_loss=0.6151
[Epoch 1] step 90/883 | train_loss=0.5513
[Epoch 1] step 100/883 | train_loss=0.5808
[Epoch 1] step 110/883 | train_loss=0.5878
[Epoch 1] step 120/883 | train_loss=0.5683
[Epoch 1] step 130/883 | train_loss=0.5747
[Epoch 1] step 140/883 | train_loss=0.5370
[Epoch 1] step 150/883 | train_loss=0.5530
[Epoch 1] step 160/883 | train_loss=0.5077
[Epoch 1] step 170/883 | train_loss=0.5017
[Epoch 1] step 180/883 | train_loss=0.5527
[Epoch 1] step 190/883 | train_loss=0.5675
[Epoch 1] step 200/883 | train_loss=0.5593
[Epoch 1] step 210/883 | train_loss=0.5182
[Epoch 1] step 220/883 | train_loss=0.5492
[Epoch 1] step 230/883 | train_loss=0.5399
[Epoch 1] step 240/883 | train_loss=0.5235
[Epoch 1] step 250/883 | train_loss=0.5232
[Epoch 1] step 260/883 | train_loss=0.5534
[Epoch 1] step 270/883 | train_loss=0.5620
[Epoch 1] step 280/883 | train_loss=0.5192
[Epoch 1] step 290/883 | train_loss=0.5129
[Epoch 1] step 300/883 | train_loss=0.5285
[Epoch 1] step 310/883 | train_loss=0.5429
[Epoch 1] step 320/883 | train_loss=0.5333
[Epoch 1] step 330/883 | train_loss=0.5129
[Epoch 1] step 340/883 | train_loss=0.5185
[Epoch 1] step 350/883 | train_loss=0.4868
[Epoch 1] step 360/883 | train_loss=0.4869
[Epoch 1] step 370/883 | train_loss=0.5189
[Epoch 1] step 380/883 | train_loss=0.5145
[Epoch 1] step 390/883 | train_loss=0.5007
[Epoch 1] step 400/883 | train_loss=0.5395
[Epoch 1] step 410/883 | train_loss=0.5331
[Epoch 1] step 420/883 | train_loss=0.5015
[Epoch 1] step 430/883 | train_loss=0.4771
[Epoch 1] step 440/883 | train_loss=0.4817
[Epoch 1] step 450/883 | train_loss=0.4823
[Epoch 1] step 460/883 | train_loss=0.4789
[Epoch 1] step 470/883 | train_loss=0.4828
[Epoch 1] step 480/883 | train_loss=0.4510
[Epoch 1] step 490/883 | train_loss=0.5215
[Epoch 1] step 500/883 | train_loss=0.5044
[Epoch 1] step 510/883 | train_loss=0.4814
[Epoch 1] step 520/883 | train_loss=0.4744
[Epoch 1] step 530/883 | train_loss=0.5438
[Epoch 1] step 540/883 | train_loss=0.5035
[Epoch 1] step 550/883 | train_loss=0.4951
[Epoch 1] step 560/883 | train_loss=0.4916
[Epoch 1] step 570/883 | train_loss=0.4734
[Epoch 1] step 580/883 | train_loss=0.4834
[Epoch 1] step 590/883 | train_loss=0.4882
[Epoch 1] step 600/883 | train_loss=0.4573
[Epoch 1] step 610/883 | train_loss=0.4333
[Epoch 1] step 620/883 | train_loss=0.4519
[Epoch 1] step 630/883 | train_loss=0.5209
[Epoch 1] step 640/883 | train_loss=0.4796
[Epoch 1] step 650/883 | train_loss=0.5252
[Epoch 1] step 660/883 | train_loss=0.5205
[Epoch 1] step 670/883 | train_loss=0.4673
[Epoch 1] step 680/883 | train_loss=0.4343
[Epoch 1] step 690/883 | train_loss=0.4877
[Epoch 1] step 700/883 | train_loss=0.4658
[Epoch 1] step 710/883 | train_loss=0.4757
[Epoch 1] step 720/883 | train_loss=0.4935
[Epoch 1] step 730/883 | train_loss=0.4916
[Epoch 1] step 740/883 | train_loss=0.4844
[Epoch 1] step 750/883 | train_loss=0.5221
[Epoch 1] step 760/883 | train_loss=0.5055
[Epoch 1] step 770/883 | train_loss=0.4962
[Epoch 1] step 780/883 | train_loss=0.5141
[Epoch 1] step 790/883 | train_loss=0.5223
[Epoch 1] step 800/883 | train_loss=0.5046
[Epoch 1] step 810/883 | train_loss=0.4294
[Epoch 1] step 820/883 | train_loss=0.4793
[Epoch 1] step 830/883 | train_loss=0.5126
[Epoch 1] step 840/883 | train_loss=0.4134
[Epoch 1] step 850/883 | train_loss=0.5275
[Epoch 1] step 860/883 | train_loss=0.4717
[Epoch 1] step 870/883 | train_loss=0.4736
[Epoch 1] step 880/883 | train_loss=0.5234
[Epoch 1] Starting validation...
[Epoch 1] VAL Dice=0.5945
job finished: Tue Jan 27 05:25:26 PM EST 2026
