job started: Thu Jan 29 11:33:50 AM EST 2026
hostname: kn005
pwd: /home/pirie03/projects/aip-medilab/pirie03/ProstateMicroSeg/scripts/slurm
Device: cuda
GPU: NVIDIA L40S
CUDA Memory: 47.68 GB
DEBUG: fetching first train batch...
DEBUG: first train batch fetched in 2.6s
Train slices: 1766 | Val slices: 386
Target HW: (896, 1408) | Batch size: 2 | LR: 0.0001 | Epochs: 1
DataLoader: num_workers=0, pin_memory=False
Starting training...
[Epoch 1] Starting training loop...
[Epoch 1] step 1/883 | train_loss=0.0780
[Epoch 1] step 10/883 | train_loss=0.6670
[Epoch 1] step 20/883 | train_loss=0.7014
[Epoch 1] step 30/883 | train_loss=0.6702
[Epoch 1] step 40/883 | train_loss=0.6488
[Epoch 1] step 50/883 | train_loss=0.6001
[Epoch 1] step 60/883 | train_loss=0.6204
[Epoch 1] step 70/883 | train_loss=0.5740
[Epoch 1] step 80/883 | train_loss=0.6058
[Epoch 1] step 90/883 | train_loss=0.5946
[Epoch 1] step 100/883 | train_loss=0.5760
[Epoch 1] step 110/883 | train_loss=0.5498
[Epoch 1] step 120/883 | train_loss=0.5663
[Epoch 1] step 130/883 | train_loss=0.5792
[Epoch 1] step 140/883 | train_loss=0.5168
[Epoch 1] step 150/883 | train_loss=0.5300
[Epoch 1] step 160/883 | train_loss=0.5431
[Epoch 1] step 170/883 | train_loss=0.5224
[Epoch 1] step 180/883 | train_loss=0.5461
[Epoch 1] step 190/883 | train_loss=0.4833
[Epoch 1] step 200/883 | train_loss=0.5398
[Epoch 1] step 210/883 | train_loss=0.5389
[Epoch 1] step 220/883 | train_loss=0.5093
[Epoch 1] step 230/883 | train_loss=0.5665
[Epoch 1] step 240/883 | train_loss=0.5521
[Epoch 1] step 250/883 | train_loss=0.4855
[Epoch 1] step 260/883 | train_loss=0.4956
[Epoch 1] step 270/883 | train_loss=0.5268
[Epoch 1] step 280/883 | train_loss=0.4988
[Epoch 1] step 290/883 | train_loss=0.5511
[Epoch 1] step 300/883 | train_loss=0.4529
[Epoch 1] step 310/883 | train_loss=0.5277
[Epoch 1] step 320/883 | train_loss=0.4706
[Epoch 1] step 330/883 | train_loss=0.5695
[Epoch 1] step 340/883 | train_loss=0.5073
[Epoch 1] step 350/883 | train_loss=0.4996
[Epoch 1] step 360/883 | train_loss=0.5394
[Epoch 1] step 370/883 | train_loss=0.5228
[Epoch 1] step 380/883 | train_loss=0.5073
[Epoch 1] step 390/883 | train_loss=0.4990
[Epoch 1] step 400/883 | train_loss=0.4856
[Epoch 1] step 410/883 | train_loss=0.5055
[Epoch 1] step 420/883 | train_loss=0.5211
[Epoch 1] step 430/883 | train_loss=0.4994
[Epoch 1] step 440/883 | train_loss=0.5314
[Epoch 1] step 450/883 | train_loss=0.4966
[Epoch 1] step 460/883 | train_loss=0.4983
[Epoch 1] step 470/883 | train_loss=0.5021
[Epoch 1] step 480/883 | train_loss=0.4974
[Epoch 1] step 490/883 | train_loss=0.5105
[Epoch 1] step 500/883 | train_loss=0.5004
[Epoch 1] step 510/883 | train_loss=0.4745
[Epoch 1] step 520/883 | train_loss=0.4569
[Epoch 1] step 530/883 | train_loss=0.5272
[Epoch 1] step 540/883 | train_loss=0.4788
[Epoch 1] step 550/883 | train_loss=0.4971
[Epoch 1] step 560/883 | train_loss=0.4686
[Epoch 1] step 570/883 | train_loss=0.5162
[Epoch 1] step 580/883 | train_loss=0.5492
[Epoch 1] step 590/883 | train_loss=0.5148
[Epoch 1] step 600/883 | train_loss=0.4959
[Epoch 1] step 610/883 | train_loss=0.4376
[Epoch 1] step 620/883 | train_loss=0.5433
[Epoch 1] step 630/883 | train_loss=0.5059
[Epoch 1] step 640/883 | train_loss=0.4802
[Epoch 1] step 650/883 | train_loss=0.5120
[Epoch 1] step 660/883 | train_loss=0.5631
[Epoch 1] step 670/883 | train_loss=0.4428
[Epoch 1] step 680/883 | train_loss=0.4717
[Epoch 1] step 690/883 | train_loss=0.5365
[Epoch 1] step 700/883 | train_loss=0.5008
[Epoch 1] step 710/883 | train_loss=0.4576
[Epoch 1] step 720/883 | train_loss=0.4777
[Epoch 1] step 730/883 | train_loss=0.4600
[Epoch 1] step 740/883 | train_loss=0.4594
[Epoch 1] step 750/883 | train_loss=0.4640
[Epoch 1] step 760/883 | train_loss=0.4752
[Epoch 1] step 770/883 | train_loss=0.4937
[Epoch 1] step 780/883 | train_loss=0.4555
[Epoch 1] step 790/883 | train_loss=0.5001
[Epoch 1] step 800/883 | train_loss=0.4979
[Epoch 1] step 810/883 | train_loss=0.4251
[Epoch 1] step 820/883 | train_loss=0.4670
[Epoch 1] step 830/883 | train_loss=0.4744
[Epoch 1] step 840/883 | train_loss=0.4566
[Epoch 1] step 850/883 | train_loss=0.5001
[Epoch 1] step 860/883 | train_loss=0.4928
[Epoch 1] step 870/883 | train_loss=0.5108
[Epoch 1] step 880/883 | train_loss=0.4344
[Epoch 1] Starting validation...
[Epoch 1] VAL Dice=0.6172
job finished: Thu Jan 29 12:18:14 PM EST 2026
