job started: Thu Jan 29 11:43:27 AM EST 2026
hostname: kn019
pwd: /home/pirie03/projects/aip-medilab/pirie03/ProstateMicroSeg/scripts/slurm
activating venv... Thu Jan 29 11:43:27 AM EST 2026
venv activated. Thu Jan 29 11:43:27 AM EST 2026
starting python... Thu Jan 29 11:43:27 AM EST 2026
[train_2d_baseline] Python started, importing...
[train_2d_baseline] argparse done, importing torch...
[train_2d_baseline] torch done, importing dataset_2d...
[train_2d_baseline] dataset_2d done, importing monai_unet_2d...
[train_2d_baseline] all imports done.
Device: cuda
GPU: NVIDIA L40S
CUDA Memory: 47.68 GB
DEBUG: fetching first train batch...
DEBUG: first train batch fetched in 2.5s
Train slices: 1766 | Val slices: 386
Target HW: (896, 1408) | Batch size: 2 | LR: 0.0001 | Epochs: 1
DataLoader: num_workers=0, pin_memory=False
Starting training...
[Epoch 1] Starting training loop...
[Epoch 1] step 1/883 | train_loss=0.1006
[Epoch 1] step 10/883 | train_loss=0.8285
[Epoch 1] step 20/883 | train_loss=0.8206
[Epoch 1] step 30/883 | train_loss=0.7843
[Epoch 1] step 40/883 | train_loss=0.7286
[Epoch 1] step 50/883 | train_loss=0.6893
[Epoch 1] step 60/883 | train_loss=0.6585
[Epoch 1] step 70/883 | train_loss=0.6881
[Epoch 1] step 80/883 | train_loss=0.6525
[Epoch 1] step 90/883 | train_loss=0.6439
[Epoch 1] step 100/883 | train_loss=0.5869
[Epoch 1] step 110/883 | train_loss=0.6463
[Epoch 1] step 120/883 | train_loss=0.6058
[Epoch 1] step 130/883 | train_loss=0.6040
[Epoch 1] step 140/883 | train_loss=0.5627
[Epoch 1] step 150/883 | train_loss=0.5509
[Epoch 1] step 160/883 | train_loss=0.5683
[Epoch 1] step 170/883 | train_loss=0.5810
[Epoch 1] step 180/883 | train_loss=0.5753
[Epoch 1] step 190/883 | train_loss=0.6121
[Epoch 1] step 200/883 | train_loss=0.5297
[Epoch 1] step 210/883 | train_loss=0.5667
[Epoch 1] step 220/883 | train_loss=0.5764
[Epoch 1] step 230/883 | train_loss=0.5552
[Epoch 1] step 240/883 | train_loss=0.5475
[Epoch 1] step 250/883 | train_loss=0.5004
[Epoch 1] step 260/883 | train_loss=0.5765
[Epoch 1] step 270/883 | train_loss=0.5890
[Epoch 1] step 280/883 | train_loss=0.5505
[Epoch 1] step 290/883 | train_loss=0.5269
[Epoch 1] step 300/883 | train_loss=0.5512
[Epoch 1] step 310/883 | train_loss=0.5379
[Epoch 1] step 320/883 | train_loss=0.5375
[Epoch 1] step 330/883 | train_loss=0.5355
[Epoch 1] step 340/883 | train_loss=0.5257
[Epoch 1] step 350/883 | train_loss=0.4994
[Epoch 1] step 360/883 | train_loss=0.5060
[Epoch 1] step 370/883 | train_loss=0.5283
[Epoch 1] step 380/883 | train_loss=0.4927
[Epoch 1] step 390/883 | train_loss=0.5013
[Epoch 1] step 400/883 | train_loss=0.5030
[Epoch 1] step 410/883 | train_loss=0.4695
[Epoch 1] step 420/883 | train_loss=0.5725
[Epoch 1] step 430/883 | train_loss=0.5249
[Epoch 1] step 440/883 | train_loss=0.5009
[Epoch 1] step 450/883 | train_loss=0.5327
[Epoch 1] step 460/883 | train_loss=0.5284
[Epoch 1] step 470/883 | train_loss=0.5136
[Epoch 1] step 480/883 | train_loss=0.4712
[Epoch 1] step 490/883 | train_loss=0.5123
[Epoch 1] step 500/883 | train_loss=0.4964
[Epoch 1] step 510/883 | train_loss=0.5233
[Epoch 1] step 520/883 | train_loss=0.5030
[Epoch 1] step 530/883 | train_loss=0.5212
[Epoch 1] step 540/883 | train_loss=0.5200
[Epoch 1] step 550/883 | train_loss=0.4910
[Epoch 1] step 560/883 | train_loss=0.5008
[Epoch 1] step 570/883 | train_loss=0.5090
[Epoch 1] step 580/883 | train_loss=0.4766
[Epoch 1] step 590/883 | train_loss=0.5159
[Epoch 1] step 600/883 | train_loss=0.4871
[Epoch 1] step 610/883 | train_loss=0.5338
[Epoch 1] step 620/883 | train_loss=0.4204
[Epoch 1] step 630/883 | train_loss=0.5223
[Epoch 1] step 640/883 | train_loss=0.4984
[Epoch 1] step 650/883 | train_loss=0.4592
[Epoch 1] step 660/883 | train_loss=0.4948
[Epoch 1] step 670/883 | train_loss=0.4689
[Epoch 1] step 680/883 | train_loss=0.4615
[Epoch 1] step 690/883 | train_loss=0.4654
[Epoch 1] step 700/883 | train_loss=0.4754
[Epoch 1] step 710/883 | train_loss=0.5015
[Epoch 1] step 720/883 | train_loss=0.4990
[Epoch 1] step 730/883 | train_loss=0.4514
[Epoch 1] step 740/883 | train_loss=0.4684
[Epoch 1] step 750/883 | train_loss=0.4297
[Epoch 1] step 760/883 | train_loss=0.4615
[Epoch 1] step 770/883 | train_loss=0.4479
[Epoch 1] step 780/883 | train_loss=0.5165
[Epoch 1] step 790/883 | train_loss=0.4692
[Epoch 1] step 800/883 | train_loss=0.5209
[Epoch 1] step 810/883 | train_loss=0.4642
[Epoch 1] step 820/883 | train_loss=0.4339
[Epoch 1] step 830/883 | train_loss=0.4953
[Epoch 1] step 840/883 | train_loss=0.4675
[Epoch 1] step 850/883 | train_loss=0.4847
[Epoch 1] step 860/883 | train_loss=0.4502
[Epoch 1] step 870/883 | train_loss=0.4746
[Epoch 1] step 880/883 | train_loss=0.4835
[Epoch 1] Starting validation...
[Epoch 1] VAL Dice=0.6125
job finished: Thu Jan 29 12:29:44 PM EST 2026
