job started: Thu Jan 29 04:22:48 PM EST 2026
hostname: kn007
pwd: /home/pirie03/projects/aip-medilab/pirie03/ProstateMicroSeg/scripts/slurm
activating venv... Thu Jan 29 04:22:48 PM EST 2026
venv activated. Thu Jan 29 04:22:48 PM EST 2026
starting python... Thu Jan 29 04:22:48 PM EST 2026
[train_2d_baseline] Python started, importing...
[train_2d_baseline] argparse done, importing torch...
[train_2d_baseline] torch done, importing dataset_2d...
[train_2d_baseline] dataset_2d done, importing monai_unet_2d...
[train_2d_baseline] all imports done.
Device: cuda
GPU: NVIDIA L40S
CUDA Memory: 47.68 GB
DEBUG: fetching first train batch...
DEBUG: first train batch fetched in 0.2s
Train slices: 1766 | Val slices: 386
Target HW: (896, 1408) | Batch size: 2 | LR: 0.0001 | Epochs: 1
DataLoader: num_workers=0, pin_memory=False
Starting training...
[Epoch 1] Starting training loop...
[Epoch 1] step 1/883 | train_loss=0.0969
[Epoch 1] step 10/883 | train_loss=0.7859
[Epoch 1] step 20/883 | train_loss=0.7938
[Epoch 1] step 30/883 | train_loss=0.7529
[Epoch 1] step 40/883 | train_loss=0.7242
[Epoch 1] step 50/883 | train_loss=0.6549
[Epoch 1] step 60/883 | train_loss=0.6486
[Epoch 1] step 70/883 | train_loss=0.7075
[Epoch 1] step 80/883 | train_loss=0.6515
[Epoch 1] step 90/883 | train_loss=0.6209
[Epoch 1] step 100/883 | train_loss=0.6427
[Epoch 1] step 110/883 | train_loss=0.5823
[Epoch 1] step 120/883 | train_loss=0.5755
[Epoch 1] step 130/883 | train_loss=0.6322
[Epoch 1] step 140/883 | train_loss=0.5444
[Epoch 1] step 150/883 | train_loss=0.5385
[Epoch 1] step 160/883 | train_loss=0.5639
[Epoch 1] step 170/883 | train_loss=0.5967
[Epoch 1] step 180/883 | train_loss=0.5478
[Epoch 1] step 190/883 | train_loss=0.5307
[Epoch 1] step 200/883 | train_loss=0.5396
[Epoch 1] step 210/883 | train_loss=0.5781
[Epoch 1] step 220/883 | train_loss=0.5038
[Epoch 1] step 230/883 | train_loss=0.5553
[Epoch 1] step 240/883 | train_loss=0.5068
[Epoch 1] step 250/883 | train_loss=0.5434
[Epoch 1] step 260/883 | train_loss=0.5664
[Epoch 1] step 270/883 | train_loss=0.5396
[Epoch 1] step 280/883 | train_loss=0.5386
[Epoch 1] step 290/883 | train_loss=0.5488
[Epoch 1] step 300/883 | train_loss=0.5269
[Epoch 1] step 310/883 | train_loss=0.5040
[Epoch 1] step 320/883 | train_loss=0.5022
[Epoch 1] step 330/883 | train_loss=0.5568
[Epoch 1] step 340/883 | train_loss=0.5331
[Epoch 1] step 350/883 | train_loss=0.5112
[Epoch 1] step 360/883 | train_loss=0.4967
[Epoch 1] step 370/883 | train_loss=0.5145
[Epoch 1] step 380/883 | train_loss=0.4861
[Epoch 1] step 390/883 | train_loss=0.5206
[Epoch 1] step 400/883 | train_loss=0.4746
[Epoch 1] step 410/883 | train_loss=0.4854
[Epoch 1] step 420/883 | train_loss=0.5231
[Epoch 1] step 430/883 | train_loss=0.5034
[Epoch 1] step 440/883 | train_loss=0.5178
[Epoch 1] step 450/883 | train_loss=0.5086
[Epoch 1] step 460/883 | train_loss=0.4940
[Epoch 1] step 470/883 | train_loss=0.5459
[Epoch 1] step 480/883 | train_loss=0.5025
[Epoch 1] step 490/883 | train_loss=0.4495
[Epoch 1] step 500/883 | train_loss=0.5069
[Epoch 1] step 510/883 | train_loss=0.4971
[Epoch 1] step 520/883 | train_loss=0.4804
[Epoch 1] step 530/883 | train_loss=0.5092
[Epoch 1] step 540/883 | train_loss=0.4475
[Epoch 1] step 550/883 | train_loss=0.4498
[Epoch 1] step 560/883 | train_loss=0.5250
[Epoch 1] step 570/883 | train_loss=0.4532
[Epoch 1] step 580/883 | train_loss=0.4920
[Epoch 1] step 590/883 | train_loss=0.4574
[Epoch 1] step 600/883 | train_loss=0.4836
[Epoch 1] step 610/883 | train_loss=0.4959
[Epoch 1] step 620/883 | train_loss=0.4895
[Epoch 1] step 630/883 | train_loss=0.4614
[Epoch 1] step 640/883 | train_loss=0.4936
[Epoch 1] step 650/883 | train_loss=0.5055
[Epoch 1] step 660/883 | train_loss=0.4889
[Epoch 1] step 670/883 | train_loss=0.4883
[Epoch 1] step 680/883 | train_loss=0.4095
[Epoch 1] step 690/883 | train_loss=0.4997
[Epoch 1] step 700/883 | train_loss=0.4947
[Epoch 1] step 710/883 | train_loss=0.4599
[Epoch 1] step 720/883 | train_loss=0.5612
[Epoch 1] step 730/883 | train_loss=0.4690
[Epoch 1] step 740/883 | train_loss=0.5071
[Epoch 1] step 750/883 | train_loss=0.4910
[Epoch 1] step 760/883 | train_loss=0.4910
[Epoch 1] step 770/883 | train_loss=0.5301
[Epoch 1] step 780/883 | train_loss=0.4719
[Epoch 1] step 790/883 | train_loss=0.4655
[Epoch 1] step 800/883 | train_loss=0.4546
[Epoch 1] step 810/883 | train_loss=0.4389
[Epoch 1] step 820/883 | train_loss=0.4354
[Epoch 1] step 830/883 | train_loss=0.4907
[Epoch 1] step 840/883 | train_loss=0.4881
[Epoch 1] step 850/883 | train_loss=0.4784
[Epoch 1] step 860/883 | train_loss=0.4437
[Epoch 1] step 870/883 | train_loss=0.5244
[Epoch 1] step 880/883 | train_loss=0.4692
[Epoch 1] Starting validation...
[Epoch 1] VAL Dice=0.6213
job finished: Thu Jan 29 04:24:45 PM EST 2026
